id,ch,title,time,date
1,SUPER ACTION,테이킹 라이브즈,00:20:00,2018-01-23
2,SUPER ACTION,친절한 금자씨,02:20:00,2018-01-23
3,SUPER ACTION,텍사스 킬링 필드,04:20:00,2018-01-23
4,SUPER ACTION,미녀는 괴로워,06:10:00,2018-01-23
5,SUPER ACTION,폰부스,08:20:00,2018-01-23
6,SUPER ACTION,해프닝,09:50:00,2018-01-23
7,SUPER ACTION,러시아워2,11:20:00,2018-01-23
8,SUPER ACTION,그림형제 시즌5,13:30:00,2018-01-23
9,SUPER ACTION,포화속으로,17:30:00,2018-01-23
10,SUPER ACTION,이레이저,19:50:00,2018-01-23
11,SUPER ACTION,둠,22:00:00,2018-01-23
12,SUPER ACTION,28일후,00:00:00,2018-01-22
13,SUPER ACTION,미이라,02:10:00,2018-01-22
14,SUPER ACTION,미이라2,04:10:00,2018-01-22
15,SUPER ACTION,미스터 고,06:30:00,2018-01-22
16,SUPER ACTION,이장과 군수,09:00:00,2018-01-22
17,SUPER ACTION,타이탄,11:20:00,2018-01-22
18,SUPER ACTION,그림형제 시즌5,13:10:00,2018-01-22
19,SUPER ACTION,나쁜 녀석들: 악의 도시,17:00:00,2018-01-22
20,SUPER ACTION,주먹이 운다,19:30:00,2018-01-22
21,SUPER ACTION,최종병기 활,22:00:00,2018-01-22
22,SUPER ACTION,더 폰,00:20:00,2018-01-21
23,SUPER ACTION,비열한 거리,02:30:00,2018-01-21
24,SUPER ACTION,플래닛 바이러스: 화성 최후의 날,04:50:00,2018-01-21
25,SUPER ACTION,고지전,06:50:00,2018-01-21
26,SUPER ACTION,더블 타겟(2007),09:20:00,2018-01-21
27,SUPER ACTION,미이라,11:50:00,2018-01-21
28,SUPER ACTION,미이라2,14:20:00,2018-01-21
29,SUPER ACTION,나쁜 녀석들: 악의 도시,16:50:00,2018-01-21
30,SUPER ACTION,스물,19:40:00,2018-01-21
31,SUPER ACTION,타이탄,22:00:00,2018-01-21
32,SUPER ACTION,찰리와 초콜릿공장,00:10:00,2018-01-20
33,SUPER ACTION,피터팬(2003),02:20:00,2018-01-20
34,SUPER ACTION,내니 맥피2: 유모와 마법소동,04:10:00,2018-01-20
35,SUPER ACTION,눈의 여왕,06:10:00,2018-01-20
36,SUPER ACTION,탐정: 더 비기닝,07:40:00,2018-01-20
37,SUPER ACTION,루저스,10:10:00,2018-01-20
38,SUPER ACTION,잭 더 자이언트 킬러,12:10:00,2018-01-20
39,SUPER ACTION,레드: 더 레전드,14:20:00,2018-01-20
40,SUPER ACTION,고스트 라이더,16:30:00,2018-01-20
41,SUPER ACTION,마이웨이,19:00:00,2018-01-20
42,SUPER ACTION,더블 타겟(2007),21:50:00,2018-01-20
43,SUPER ACTION,나쁜 녀석들: 악의 도시,00:30:00,2018-01-19
44,SUPER ACTION,크로니클,01:50:00,2018-01-19
45,SUPER ACTION,어떤살인,03:20:00,2018-01-19
46,SUPER ACTION,무간도,05:20:00,2018-01-19
47,SUPER ACTION,시간이탈자,07:10:00,2018-01-19
48,SUPER ACTION,모데카이,09:10:00,2018-01-19
49,SUPER ACTION,타워,11:10:00,2018-01-19
50,SUPER ACTION,반헬싱,13:40:00,2018-01-19
51,SUPER ACTION,옹박 2015,16:00:00,2018-01-19
52,SUPER ACTION,나쁜 녀석들: 악의 도시,17:40:00,2018-01-19
53,SUPER ACTION,크로니클,20:30:00,2018-01-19
