actor,director,genre,grade,nation,premiere,title
손현주,백운학,스릴러,7.2,한국,2015-05-14,악의연대기
"리암 니슨,팜케 얀센,매기 그레이스",올리비에 메가톤,액션/범죄/스릴러,6.5,프랑스,2015-01-01,테이큰3
"신하균,장혁,강한나,강하늘",안상훈,시대극,6.1,한국,2015-03-05,순수의시대
"안젤리나 졸리,엘르 패닝",로버트 스트롬버그,판타지,8,미국,2014-05-29,말레피센트
"설경구,문소리,다니엘 헤니",이승준,코미디/액션,6.3,한국,2013-09-05,스파이
"엄정화,송승헌",강효진,코미디,8.3,한국,2015-08-13,미쓰와이프
"김혜수,김고은",한준희,범죄/드라마,6.6,한국,2015-04-29,차이나타운
"김우빈,준호,강하늘",이병헌,코미디,7.2,한국,2015-03-25,스물
"임창정,최다니엘",신재호,액션,5.4,한국,2015-08-27,치외법권
"이선균,김고은,임원희",허종호,범죄/액션,6.9,한국,2015-10-08,성난변호사
"에드 스크레인,로앤 샤바놀",카밀 델라마르,액션,5.9,"프랑스,중국",2015-10-15,트랜스포터 리퓰드
"도지원,신세경",봉만대,공포,7.3,한국,2006-08-17,신데렐라
"김수미,정만식,김정태,이태란",신한솔,코미디,6.9,한국,2015-03-05,헬머니
"제레미 레너,레이첼 와이즈,에드워드 노튼",토니 길로이,액션,6.2,미국,2012-09-06,본레거시
"빈 디젤,폴 워커,드웨인 존슨,미셸 로드리게스,성 강,루크 에반스",저스틴 린,액션/범죄,8.4,미국,2013-05-22,분노의질주6 더맥시멈
"고아성,박성웅,배성우",홍원찬,스릴러,6.5,한국,2015-09-03,오피스
"키아누 리브스,사나다 히로유키,시바사키 코우,아사노 타다노부",칼 린쉬,액션,3.2,미국,,47로닌
로버트 다우니 주니어,존 파브로,액션/어드벤처/SF,7.3,미국,2010-04-29,아이언맨2
"구지성,하나경,황찬우,이재혁",김호준,로맨스/멜로/코미디,4.2,한국,2015-04-30,터치바이터치
마크 월버그,안톤 후쿠아,액션/스릴러/드라마,8.4,미국,2007-04-26,더블타겟
"루크 에반스,도미닉 쿠퍼",개리 쇼어,판타지/액션,7.3,미국,2014-10-08,드라큘라 전설의시작
"정우성,이솜,박시우",임필성,로맨스/멜로,6.2,한국,2014-10-02,마담뺑덕
"크리스 윌리엄스,라이언 포터,스캇 애짓,다니엘 헤니",돈 할,애니메이션/액션/코미디,7.8,미국,2015-01-21,빅히어로
"이승기,문채원,정준영",박진표,로맨스/멜로/코미디,6.6,한국,2015-01-14,오늘의연애
"황정민,유아인",류승완,액션/드라마,8.4,한국,2015-08-05,베테랑
"크리스 프랫,조 샐다나,데이브 바우티스타,빈 디젤,브래들리 쿠퍼",제임스 건,액션/어드벤처,8,미국,2014-07-31,가디언즈오브갤럭시
"스칼렛 요한슨,모건 프리먼,최민식",뤽 베송,액션/SF/스릴러,6.7,"프랑스,미국",2014-09-03,루시
"전지현,이정재,하정우",최동훈,액션/드라마,8.5,한국,2015-07-22,암살
"콜린 퍼스,태런 에저튼",매튜 본,스릴러,7.9,"미국,영국",2015-02-11,킹스맨 시크릿에이전트
"황정민,강동원",이일형,범죄/코미디,6.4,한국,2016-02-03,검사외전
"이정재,최민식,황정민",박훈정,범죄/드라마,8.6,한국,2013-02-21,신세계
톰 크루즈,크리스토퍼 맥쿼리,액션/어드벤처,8.1,미국,2015-07-30,미션임파서블5 로그네이션
"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨",조스 웨던,액션/어드벤처/SF,7.8,미국,2015-04-23,어벤져스2 에이지오브울트론
"휴 잭맨,제임스 맥어보이,마이클 패스벤더,패트릭 스튜어트,이안 맥켈런,제니퍼 로렌스,할리 베리,엘렌 페이지",브라이언 싱어,액션/어드벤처/판타지,7.9,미국,2014-05-22,엑스맨 데이즈오브퓨처패스트
"매튜 맥커너히,앤 해서웨이,마이클 케인,제시카 차스테인,캐시 애플렉",크리스토퍼 놀란,SF,8,미국,2014-11-06,인터스텔라
"로버트 다우니 주니어,기네스 팰트로,돈 치들,가이 피어스",셰인 블랙,액션/SF,8.3,미국,2013-04-25,아이언맨3
"앤소니 루소,크리스 에반스",조 루소,액션/어드벤처/SF,8.2,미국,2014-03-26,캡틴아메리카 윈터솔저
"아놀드 슈워제네거,제이슨 클락,에밀리아 클락,제이 코트니",앨런 테일러,액션/어드벤처/SF,5.9,미국,2015-07-02,터미네이터5 제니시스
"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨",조스 웨던,액션/어드벤처/SF,7.8,미국,2015-04-23,어벤져스
"크리스 프랫,브라이스 달라스 하워드",콜린 트레보로우,액션/스릴러/SF/공포/어드벤처,6.7,미국,2015-06-11,쥬라기월드
"정우성,이범수,안성기,김인권,이시영",조범구,범죄/액션,7.1,한국,2014-07-03,신의한수
"원빈,김새론",이정범,액션/드라마,9.2,한국,2010-08-04,아저씨
"제니퍼 리,박지윤,소연,박혜나,최원형,윤승욱,장민혁,정상윤,이장원,정영주,크리스틴 벨,이디나 멘젤,조시 게드,조나단 그로프,Maia Wilson",크리스 벅,애니메이션/어드벤처/가족,8.2,미국,2014-01-16,겨울왕국
"알레산드로 칼로니,잭 블랙,안젤리나 졸리,더스틴 호프만",여인영,애니메이션/액션/어드벤처,7.7,"미국,중국",2016-01-28,쿵푸팬더3
"딜런 오브라이언,카야 스코델라리오,토마스 생스터,윌 폴터",웨스 볼,미스터리/액션/스릴러/SF,7.1,"미국,영국",2014-09-18,메이즈러너
"폴 러드,마이클 더글라스,에반젤린 릴리",페이튼 리드,액션/어드벤처,7.9,미국,2015-09-03,앤트맨
톰 크루즈,에드워드 즈윅,액션/범죄/드라마,7.1,미국,2016-11-30,잭리처
"헨리 카빌,에이미 아담스",잭 스나이더,액션/어드벤처/판타지,7.4,미국,2013-06-13,맨오브스틸
"김나연,이정우,한채진",이숭환,로맨스/멜로,5.9,한국,,비밀리애
"하비에르 보텟,마누엘라 벨라스코,파코 만사네도,이스마엘 프리치,크리스풀로 카베사스",하우메 발라게로,공포,6.7,스페인,2014-12-24,알이씨4 아포칼립스
제이슨 스타뎀,올리비에 메가톤,액션/스릴러,7.5,"프랑스,영국",2009-01-08,트랜스포터3 라스트미션
"스베틀라나 이바노바,막심 마트비예프,예고르 베로예프",드자니크 파이지예프,액션/SF,6.8,러시아,2015-02-26,어거스트에이트
"스티븐 St. 레거,가이 피어스,매기 그레이스",제임스 매더,SF/액션,7.7,프랑스,2012-06-14,락아웃 익스트림미션
"나가사와 츠구미,오카베 나오",아시즈카 신타로,판타지,5.8,일본,2013-02-21,설녀
"브루스 윌리스,게리 올드만,이안 홈,밀라 요보비치",뤽 베송,액션/SF,8.2,프랑스,1997-07-17,제5원소
"벤 애플렉,조쉬 하트넷,케이트 베킨세일",마이클 베이,로맨스/멜로/전쟁/드라마,8.2,미국,2001-06-01,진주만
"헨리 카빌,미키 루크,프리다 핀토",타셈 싱,액션/판타지,5.5,미국,2011-11-10,신들의전쟁
"브래들리 쿠퍼,로버트 드 니로",닐 버거,액션/스릴러,8,미국,2012-07-12,리미트리스
"엄정화,김상경,송영창",정근섭,스릴러/드라마,8.2,한국,2013-05-16,몽타주
"황정민,류승범,유해진",류승완,범죄/드라마,8.1,한국,2010-10-28,부당거래
"나탈리 포트만,휴고 위빙",제임스 맥테이그,액션/SF,9.2,"미국,영국,독일",2006-03-16,브이포벤데타
"데이비드 듀코브니,질리언 앤더슨",크리스 카터,미스터리,6,"캐나다,미국",2008-08-13,엑스파일 나는믿고싶다
"김래원,엄정화",박희곤,범죄/액션/드라마,8.3,한국,2009-04-29,인사동스캔들
"니콜라스 케이지,로즈 번",알렉스 프로야스,액션/스릴러/SF,6.2,"미국,영국",2009-04-16,노잉
"박신양,김정태,엄지원,정혜영",조진규,코미디,7.5,한국,2013-01-09,박수건달
"웨슬리 스나입스,크리스 크리스토퍼슨",기예르모 델 토로,액션/공포,8,"독일,미국",2002-04-04,블레이드2
"조쉬 루카스,제시카 비엘,제이미 폭스",롭 코헨,액션/어드벤처,6.8,미국,2005-07-28,스텔스
"제프리 딘 모건,조 샐다나,크리스 에반스",실베인 화이트,액션/어드벤처/범죄,6.5,미국,,루저스
"제이크 질렌할,미셸 모나한",던칸 존스,SF/액션,8.6,"미국,프랑스",2011-05-04,소스코드
"브루스 윌리스,라다 미첼",조나단 모스토우,SF/액션/스릴러,7.7,미국,2009-10-01,써로게이트
"에밀리 브라우닝,애비 코니쉬,지나 말론,바네사 허진스,제이미 정",잭 스나이더,액션,6.6,미국,2011-04-07,써커펀치
"크리스 파인,키이라 나이틀리,케빈 코스트너,케네스 브래너",케네스 브래너,액션/스릴러,7.1,"미국,러시아",2014-01-16,잭라이언 코드네임쉐도우
"킷 하링턴,캐리 앤 모스,에밀리 브라우닝,아데웰 아킨누오예 아바제,제시카 루카스,자레드 해리스,키퍼 서덜랜드",폴 앤더슨,액션/어드벤처,7.7,"미국,독일",2014-02-20,폼페이 최후의날
제이슨 스타뎀,스티븐 나이트,액션/범죄,6.9,"미국,영국",2015-01-15,허밍버드
"야쿠쇼 코지,고마츠 나나",나카시마 테츠야,스릴러/미스터리,6.1,일본,2014-12-04,갈증
주지훈,장규성,시대극/코미디,6.9,한국,2012-08-08,나는왕이로소이다
"숀 코너리,니콜라스 케이지,에드 해리스",마이클 베이,액션/스릴러,9.1,미국,1996-07-13,더록
"조셉 고든 레빗,브루스 윌리스,에밀리 블런트",라이언 존슨,SF/액션,7.9,미국,2012-10-11,루퍼
"빈 디젤,멜라니 티에리,양자경",마티유 카소비츠,액션/스릴러/SF,3.9,"프랑스,미국",2008-10-02,바빌론AD
